index,Num,City,Year,Month,Day,Value
0,1,Barcelona,1399,2,22,240
1,2,Barcelona,1399,2,27,240
2,3,Barcelona,1399,3,29,195
3,4,Barcelona,1399,4,5,194
4,5,Barcelona,1399,4,10,194
5,6,Barcelona,1399,4,12,194
6,7,Barcelona,1399,4,17,195
7,8,Barcelona,1399,4,22,192
8,9,Barcelona,1399,4,26,192
9,10,Barcelona,1399,4,29,191
10,11,Barcelona,1399,5,6,192
11,12,Barcelona,1399,5,10,191
12,13,Barcelona,1399,5,13,192
13,14,Barcelona,1399,5,17,192
14,15,Barcelona,1399,5,24,192
15,16,Barcelona,1399,6,14,197
16,17,Barcelona,1399,6,28,197.5
17,18,Barcelona,1399,7,5,198
18,19,Barcelona,1399,7,12,198
19,20,Barcelona,1399,7,15,192
20,21,Barcelona,1399,7,19,198
21,22,Barcelona,1399,7,21,198
22,23,Barcelona,1399,7,23,198
23,24,Barcelona,1399,7,26,198
24,25,Barcelona,1399,7,28,198
25,26,Barcelona,1399,7,29,199
26,27,Barcelona,1399,7,31,200
27,28,Barcelona,1399,8,5,200
28,29,Barcelona,1399,8,9,199
29,30,Barcelona,1399,8,11,199
30,31,Barcelona,1399,8,14,199
31,32,Barcelona,1399,8,19,199
32,33,Barcelona,1399,8,23,196
33,34,Barcelona,1399,8,30,195
34,35,Barcelona,1399,9,3,195
35,36,Barcelona,1399,9,6,195
36,37,Barcelona,1399,9,13,194
37,38,Barcelona,1399,9,18,194
38,39,Barcelona,1399,9,20,195
39,40,Barcelona,1399,10,1,198
40,41,Barcelona,1399,10,4,196
41,42,Barcelona,1399,10,11,196
42,43,Barcelona,1399,10,17,195.5
43,44,Barcelona,1399,10,23,195
44,45,Barcelona,1399,10,25,195
45,46,Barcelona,1399,10,31,197
46,47,Barcelona,1399,11,5,196
47,48,Barcelona,1399,11,8,197
48,49,Barcelona,1399,11,13,197
49,50,Barcelona,1399,11,15,196
50,51,Barcelona,1399,11,19,196.5
51,52,Barcelona,1399,11,22,198
52,53,Barcelona,1399,11,29,198
53,54,Barcelona,1399,12,4,199
54,55,Barcelona,1399,12,12,199
55,56,Barcelona,1399,12,20,200
56,57,Barcelona,1399,12,23,200
57,58,Barcelona,1399,12,29,200
58,59,Barcelona,1399,12,31,210
59,60,Barcelona,1400,1,22,220
60,61,Barcelona,1400,1,29,200
61,62,Barcelona,1400,2,5,200
62,63,Barcelona,1400,2,14,200.5
63,64,Barcelona,1400,2,19,199.5
64,65,Barcelona,1400,2,24,200
65,66,Barcelona,1400,2,28,200.5
66,67,Barcelona,1400,3,6,210
67,68,Barcelona,1400,3,11,210
68,69,Barcelona,1400,3,16,210.5
69,70,Barcelona,1400,3,20,210.25
70,71,Barcelona,1400,3,24,210
71,72,Barcelona,1400,4,9,199.5
72,73,Barcelona,1400,4,24,198.5
73,74,Barcelona,1400,4,30,199
74,75,Barcelona,1400,5,11,198.75
75,76,Barcelona,1400,5,15,198
76,77,Barcelona,1400,5,20,199
77,78,Barcelona,1400,5,25,199.5
78,79,Barcelona,1400,6,5,199.5
79,80,Barcelona,1400,6,19,196
80,81,Barcelona,1400,6,24,198.5
81,82,Barcelona,1400,6,26,198
82,83,Barcelona,1400,7,3,198.5
83,84,Barcelona,1400,7,5,199
84,85,Barcelona,1400,7,10,199.5
85,86,Barcelona,1400,7,14,210
86,87,Barcelona,1400,8,12,210
87,88,Barcelona,1400,8,28,194
88,89,Barcelona,1400,9,4,190
89,90,Barcelona,1400,9,11,186
90,91,Barcelona,1400,9,18,187.5
91,92,Barcelona,1400,9,25,187
92,93,Barcelona,1400,10,2,191
93,94,Barcelona,1400,11,13,190
94,95,Barcelona,1400,11,20,189
95,96,Barcelona,1400,11,27,191
96,97,Barcelona,1400,12,6,191
97,98,Barcelona,1400,12,11,191
98,99,Barcelona,1400,12,18,192
99,100,Barcelona,1400,12,23,193
101,101,Barcelona,1401,1,1,193
102,102,Barcelona,1401,1,8,192
103,103,Barcelona,1401,1,12,194
104,104,Barcelona,1401,1,15,194
105,105,Barcelona,1401,1,20,195
106,106,Barcelona,1401,1,27,194
107,107,Barcelona,1401,1,30,194
108,108,Barcelona,1401,2,3,194
109,109,Barcelona,1401,2,8,193
110,110,Barcelona,1401,2,14,193
111,111,Barcelona,1401,2,18,192
112,112,Barcelona,1401,2,26,192
113,113,Barcelona,1401,3,3,189.5
114,114,Barcelona,1401,3,8,189
115,115,Barcelona,1401,3,19,189
116,116,Barcelona,1401,4,2,186
117,117,Barcelona,1401,4,9,185
118,118,Barcelona,1401,4,15,185
119,119,Barcelona,1401,4,23,187
120,120,Barcelona,1401,4,30,190
121,121,Barcelona,1401,5,6,190
122,122,Barcelona,1401,5,14,192
123,123,Barcelona,1401,5,21,192
124,124,Barcelona,1401,5,28,192
125,125,Barcelona,1401,6,4,193
126,126,Barcelona,1401,6,11,194
127,127,Barcelona,1401,6,25,194
128,128,Barcelona,1401,7,2,194
129,129,Barcelona,1401,7,9,195
130,130,Barcelona,1401,7,16,194
131,131,Barcelona,1401,7,23,194
132,132,Barcelona,1401,7,30,194
133,133,Barcelona,1401,8,5,192
134,134,Barcelona,1401,8,13,195
135,135,Barcelona,1401,8,20,197
136,136,Barcelona,1401,8,27,197
137,137,Barcelona,1401,9,3,195
138,138,Barcelona,1401,9,10,193
139,139,Barcelona,1401,9,17,193
140,140,Barcelona,1401,9,24,193
141,141,Barcelona,1401,10,1,194
142,142,Barcelona,1401,10,5,196
143,143,Barcelona,1401,10,8,193.5
144,144,Barcelona,1401,10,15,196
145,145,Barcelona,1401,10,22,197
146,146,Barcelona,1401,10,29,197
147,147,Barcelona,1401,11,5,195
148,148,Barcelona,1401,11,12,194
149,149,Barcelona,1401,11,19,198
150,150,Barcelona,1401,11,26,198
151,151,Barcelona,1401,12,3,198.5
152,152,Barcelona,1401,12,10,199
153,153,Barcelona,1401,12,17,200
154,154,Barcelona,1401,12,24,210
155,155,Barcelona,1401,12,31,220
156,156,Barcelona,1402,1,7,220
157,157,Barcelona,1402,1,14,240
158,158,Barcelona,1402,1,21,210
159,159,Barcelona,1402,1,28,210
160,160,Barcelona,1402,2,4,210
